Player,Age,Contribution to Team Goals,Total Shots per 90 mins,SOT per 90 mins,SOT Accuracy,Goals per SOT,Successful Penalty Kicks,SCA per 90 mins,SCA Live-Ball Passes,SCA Take-ons,Number of Live Touches,Touches in Attacking 3rd,Touches in Attacking Penalty Area,Attempted Take-ons,Times Tackled,Progressive Carry Distance,Passes Successfully Received,Interceptions,Loose Balls Recovered,Aerial Duels Won
Adrian Benedyczak,23.0,48.1,40.4,22.3,53.8,69.8,85.7,54.4,51.7,20.0,61.6,48.5,41.2,28.3,100.0,39.4,58.7,100.0,57.1,100.0
Andreas Hountondji,21.0,65.2,59.4,52.3,86.0,87.3,0.0,66.0,55.2,53.3,43.0,42.7,51.2,47.2,82.1,68.4,41.0,30.8,30.5,37.5
Can YÄ±lmaz Uzun,18.0,82.4,60.7,55.9,90.3,76.2,42.9,92.6,65.5,60.0,61.1,33.1,25.6,73.6,52.6,69.7,58.7,23.1,75.2,68.1
Christos Tzolis,22.0,76.4,55.3,44.1,78.5,100.0,42.9,100.0,96.6,26.7,71.4,56.7,45.0,34.0,57.0,95.8,67.4,38.5,83.8,50.6
Igor Matanovic,20.0,57.7,65.2,64.1,96.3,66.7,0.0,73.1,56.9,46.7,57.0,40.5,52.6,43.4,61.8,20.9,56.9,30.8,43.8,93.2
Kevin Denkey,23.0,100.0,88.2,69.1,76.6,79.4,28.6,71.5,89.7,66.7,100.0,100.0,100.0,67.0,62.2,65.5,100.0,23.1,75.2,62.3
Mohamed El Amine Amoura,23.0,60.3,100.0,100.0,97.8,73.0,14.3,94.5,51.7,80.0,54.6,57.0,59.2,74.5,96.1,100.0,49.5,30.8,59.0,38.1
Peque,21.0,70.6,36.4,37.3,100.0,71.4,100.0,96.3,100.0,100.0,96.7,60.7,47.4,100.0,52.1,77.9,91.6,61.5,100.0,87.4
Thiago,22.0,58.1,51.6,46.8,88.6,76.2,85.7,64.4,58.6,20.0,61.8,51.5,63.5,39.6,79.0,50.4,57.6,30.8,53.3,79.0
,,50.0,4.8,2.2,46.5,0.6,7.0,3.8,58.0,15.0,1127.0,728.0,211.0,106.0,63.3,1762.0,857.0,13.0,105.0,51.4
,,0.5,0.0,0.0,0.5,0.0,0.1,0.0,0.6,0.2,11.3,7.3,2.1,1.1,0.6,17.6,8.6,0.1,1.0,0.5
